Symbol,"Company Name","My Rating","Volatility Rankings","Quantitative Grade","Fundamental Grade","Sales Growth","Operating Margin Growth","Earnings Growth","Earnings Revisions","Earnings Surprises","Earnings Momentum","Cash Flow","Return on Equity","Market Cap ($B)","Current P/E","Dividend Yield (%)","52-Week High ($)","52-Week Low ($)","Last Year EPS ($)","Last Qtr. Surprise (%)","Next Qtr. Sales (M)","Next Qtr. Sales Growth (%)","Next Qtr. EPS ($)","Next Qtr. Earnings Growth (%)","Est. Long-Term Growth (%)","Company Profile",Industry,"No. of Companies in Industry","Market Cap Rank","Estimated Sales Rank","Earnings Rank","Long-Term Growth Rank"
MTB,"M&T Bank Corporation",D,Conservative,D,C,A,C,B,D,C,F,B,B,20.74,10.63,3.31,191.41,122.50,2.62,2.16,2276.77,57.56,4.15,58.22,21.93,"Operates as a bank holding company whose subsidiaries provides banking services","Regional Banks",243,5,6,18,12
MTCH,"Match Group, Inc.",D,Moderate,F,C,D,C,C,B,F,A,B,F,10.27,30.30,0.00,113.00,35.00,0.60,-34.50,794.80,-0.50,0.41,-32.27,36.30,"Operates an online dating platform","Internet Software/Services",119,16,46,26,22
MTD,"Mettler-Toledo International Inc.",B,Conservative,B,C,D,B,B,B,C,F,C,A,32.21,37.80,0.00,1.00,1.00,7.87,3.60,919.10,2.40,8.60,9.27,10.80,"Manufactures and supplies precision instruments","Medical Specialties",246,12,119,16,51
MU,"Micron Technology, Inc.",D,Conservative,D,F,F,F,F,F,F,F,D,B,61.82,10.27,0.80,82.05,48.88,2.14,-101.79,3746.29,-51.88,-0.65,-130.21,35.90,"Manufactures and distributes advanced semiconductor solutions such as DRAMs, NAND flash memory, CMOS image sensors, other semiconductor components & memory modules",Semiconductors,101,10,81,54,16
MXL,"MaxLinear, Inc.",D,Conservative,D,C,B,B,B,F,C,D,B,B,2.68,22.02,0.00,63.36,30.02,1.00,0.68,250.12,-5.23,0.70,-29.91,3.91,"Manufactures semiconductors and radio frequency integrated circuits",Semiconductors,101,45,43,30,47
NCR,"NCR Corporation",D,Conservative,D,C,D,F,F,B,D,A,A,C,2.93,70.70,0.00,43.00,19.00,0.33,-2.60,1.00,-1.30,0.46,40.69,10.50,"Provides products and services which enable businesses to connect, interact and transact with their customers","Electronic Equipment/Instruments",38,10,24,4,15
NEE,"NextEra Energy, Inc.",B,Conservative,B,C,F,A,B,B,C,A,D,B,150.36,36.20,2.00,91.00,69.00,0.74,4.30,4.00,68.10,0.63,-15.52,8.20,"Operates as an investment holding company with interests in generating and distributing electricity","Electric Utilities",70,1,1,38,14
NEOG,"Neogen Corp",D,Moderate,F,D,A,F,F,F,F,A,D,C,3.99,422.50,0.00,35.00,11.00,0.05,-137.50,218.90,70.70,-0.02,-130.00,44.70,"Manufactures and markets medical testing kits","Medical Specialties",246,47,21,67,20
NEP,"NextEra Energy Partners LP",D,Conservative,D,C,B,C,C,B,F,D,F,B,5.36,11.00,4.00,85.00,61.00,1.72,-30.90,361.10,28.50,0.56,-67.16,-8.10,"Operates, owns and acquires contracted clean energy projects with stable, long-term cash flows","Electric Utilities",70,41,3,48,56
NKE,"NIKE, Inc. Class B",B,Conservative,B,B,B,C,B,A,A,D,C,A,186.60,34.00,1.00,139.00,83.00,0.87,32.00,11.00,5.60,0.56,-36.20,9.90,"Engages in design, development, marketing and selling of athletic footwear, apparel, equipment and accessories",Apparel/Footwear,38,1,7,12,15
NOC,"Northrop Grumman Corp.",B,Conservative,B,C,B,C,C,C,B,F,C,A,67.94,14.10,1.00,549.00,428.00,6.10,13.20,9.00,4.30,5.18,-15.11,3.60,"Provides innovative systems, products and solutions in aerospace, electronics and information systems","Aerospace & Defense",62,5,30,27,36
NSC,"Norfolk Southern Corporation",D,Conservative,D,C,C,B,B,C,D,F,D,A,46.50,14.68,2.00,289.15,203.90,2.93,-0.50,3.00,6.53,3.22,9.75,6.00,"Owns and operates intermodal network and freight railroad",Railroads,6,5,2,3,4
NTAP,"NetApp, Inc.",D,Conservative,D,C,D,D,D,B,C,D,B,A,13.15,9.30,3.00,90.00,58.00,1.42,4.70,1.00,-7.80,1.35,-5.01,6.20,"Provides data management and storage solutions","Computer Peripherals",20,2,11,3,11
NTR,"Nutrien Ltd.",D,Conservative,D,C,D,C,B,F,D,F,D,A,36.88,5.10,3.00,115.00,71.00,2.70,-21.50,6.00,-10.90,1.68,-37.96,-15.10,"Produces fertilizers and other crop production supplies","Chemicals: Agricultural",22,2,9,6,8
NTRS,"Northern Trust Corporation",D,Conservative,D,C,B,D,D,D,D,F,D,B,17.03,13.30,3.00,121.00,77.00,1.77,-4.40,1.00,3.20,1.54,-13.11,6.40,"Operates as a financial holding company, which provides asset servicing, fund administration, asset management, fiduciary and banking solutions","Financial Conglomerates",416,4,10,8,9
NUE,"Nucor Corporation",B,Moderate,B,C,F,C,C,A,B,F,C,A,36.53,5.02,1.52,178.37,103.39,7.67,17.45,8790.69,-16.23,3.94,-48.58,-24.80,"Manufactures steel and steel products",Steel,26,3,14,9,16
NUVA,"NuVasive, Inc.",D,Conservative,D,C,D,C,C,D,D,C,B,C,1.92,58.00,0.00,60.00,36.00,0.54,-15.50,298.30,2.60,0.43,-19.71,13.30,"Designs and develops products for the surgical treatment of spine disorders","Medical Specialties",246,62,117,41,43
NVDA,"NVIDIA Corporation",B,Moderate,B,C,F,D,D,B,B,C,C,A,634.38,147.72,0.08,286.56,112.27,1.36,8.53,6467.67,-21.96,0.90,-33.46,30.84,"Designs and manufactures computer graphics processors, chipsets, and related multimedia software",Semiconductors,101,1,64,35,17
NVO,"Novo Nordisk A/S Sponsored ADR Class B",B,Conservative,A,B,C,B,B,A,C,D,C,A,238.79,40.20,1.00,145.00,95.00,0.88,2.60,7.00,18.10,1.10,24.31,18.80,"Manufactures and markets pharmaceutical products for diabetes care","Pharmaceuticals: Major",442,5,76,9,36
NVR,"NVR, Inc.",A,Conservative,A,B,B,B,A,A,A,F,B,A,17.13,11.20,0.00,5.00,3.00,116.56,34.90,2.00,-9.60,88.96,-23.68,-7.70,"Constructs, sells and finances new family homes",Homebuilding,27,5,11,9,12
NWG,"NatWest Group Plc Sponsored ADR",A,Conservative,A,A,A,A,A,A,A,A,A,B,30.08,7.50,12.00,8.00,5.00,0.19,39.70,4.00,21.40,0.25,32.77,18.00,"Provides retail, private and commercial banking services","Major Banks",89,21,29,21,9
NWL,"Newell Brands Inc",F,Conservative,F,D,F,F,F,F,A,C,D,C,4.71,22.10,7.00,24.00,11.00,0.36,39.90,1.00,-24.70,-0.04,-110.26,6.40,"Manufactures and markets consumer and commercial products, including office products, tools, hardware, home and baby products","Industrial Conglomerates",6,2,4,3,2
NWS,"News Corporation Class B",D,Conservative,D,D,D,D,D,F,F,B,C,C,9.26,31.51,1.00,23.21,15.30,0.16,-30.77,2.00,-3.82,0.06,-64.16,10.37,"Provides print and digital news publishing and advertising services","Publishing: Newspapers",7,1,4,3,3
NWSA,"News Corporation Class A",D,Conservative,D,D,D,D,D,F,F,B,C,C,9.17,31.21,1.00,22.96,15.00,0.16,-30.77,2.00,-3.82,0.06,-64.16,10.37,"Provides print and digital news publishing and advertising services","Publishing: Newspapers",7,2,3,2,2
NXPI,"NXP Semiconductors NV",B,Conservative,B,C,C,B,B,C,C,F,C,A,46.00,16.66,2.14,196.16,138.09,3.34,3.55,3014.49,-3.87,3.03,-9.37,5.61,"Manufactures, designs and provides mixed-signal semiconductor solutions",Semiconductors,101,12,41,21,44
ODFL,"Old Dominion Freight Line, Inc.",B,Conservative,B,B,C,B,B,B,B,F,C,A,36.55,27.21,0.42,371.41,232.10,2.60,9.20,1489.27,-0.54,2.71,4.05,6.33,"Provides local and long-haul trucking services",Trucking,22,1,8,2,9
OGN,"Organon & Co.",F,Conservative,F,D,F,D,D,D,D,D,B,F,5.51,6.00,4.00,39.00,22.00,1.65,-12.00,1.00,-3.30,1.12,-32.05,0.10,"Develops and delivers women health, trusted legacy brands and therapeutics","Pharmaceuticals: Major",442,37,129,36,62
OKE,"ONEOK, Inc.",B,Conservative,B,C,F,A,B,A,C,D,D,A,26.60,15.50,6.00,74.00,51.00,0.87,5.90,5.00,1.40,1.96,125.83,9.70,"Purchases, gathers, compresses, transports and stores natural gas","Oil & Gas Pipelines",26,7,19,4,11
OLPX,"Olaplex Holdings, Inc.",D,Moderate,F,C,F,D,D,F,B,A,C,A,2.52,11.00,0.00,18.00,4.00,0.13,15.20,110.10,-40.90,0.04,-66.67,-8.40,"Manufactures, wholesales and retails hair care products","Household/Personal Care",22,14,18,12,18
OMC,"Omnicom Group Inc",B,Conservative,B,C,D,B,B,A,C,F,C,A,17.47,13.50,3.00,94.00,62.00,1.39,5.90,3.00,0.10,1.38,-0.50,6.50,"Provides marketing, communications and advertising related services","Advertising/Marketing Services",33,1,13,1,9
OMCL,"Omnicell, Inc.",F,Conservative,F,D,D,F,F,D,A,C,C,C,2.49,569.10,0.00,137.00,46.00,0.83,301.40,277.70,-13.00,0.07,-91.85,8.60,"Provides automated solutions for hospital medication and supply management","Information Technology Services",109,44,81,54,52
ON,"ON Semiconductor Corporation",B,Moderate,A,B,C,A,A,C,C,F,C,A,33.81,18.43,0.00,86.88,46.84,1.22,4.46,1932.95,-0.62,1.09,-10.77,5.74,"Manufactures and develops semiconductors",Semiconductors,101,18,37,22,43
ORCL,"Oracle Corporation",B,Conservative,B,C,B,C,C,B,C,C,C,F,230.20,26.60,1.00,90.00,61.00,1.54,1.50,13.00,15.90,1.58,2.35,9.10,"Designs, develops, markets, and supports a diversified line of business software products","Packaged Software",336,2,113,61,157
ORLY,"O'Reilly Automotive, Inc.",B,Conservative,A,C,C,B,B,C,B,F,C,F,49.75,23.83,0.00,873.01,572.57,7.17,7.94,3569.65,8.30,7.99,11.47,10.32,"Retails and supplies auto parts, tools, supplies and accessories","Specialty Stores",80,4,18,4,17
OSK,"Oshkosh Corp",D,Conservative,D,C,C,C,C,D,D,D,B,C,5.15,32.50,2.00,109.00,70.00,0.24,-10.00,2.00,7.30,1.02,323.01,34.50,"Designs, manufactures and markets access equipment, simulators, military, custom fire and refuse collection vehicles","Motor Vehicles",44,15,25,1,4
OTIS,"Otis Worldwide Corporation",B,Conservative,B,C,D,B,B,B,C,D,C,D,33.20,27.00,1.00,87.00,64.00,0.77,2.50,3.00,-4.60,0.76,-1.70,10.30,"Manufactures and installs elevators and escalators","Building Products",23,1,11,8,8
OXY,"Occidental Petroleum Corporation",B,Conservative,B,C,C,B,B,F,D,F,C,A,52.62,4.70,1.00,76.00,55.00,2.12,-10.90,7.00,-6.50,1.45,-31.81,-17.80,"Explores, develops, produces, and markets crude oil and natural gas","Oil & Gas Production",47,4,17,25,34
PARA,"Paramount Global Class B",D,Moderate,D,D,D,F,F,F,F,D,D,C,12.81,12.20,6.00,38.00,16.00,0.60,-65.40,7.00,1.40,0.19,-68.32,16.80,"Operates as a mass media company",Broadcasting,22,5,5,8,5
PCAR,"PACCAR Inc",A,Conservative,A,B,B,A,A,A,B,D,C,A,53.78,11.94,1.44,76.28,52.72,1.15,19.51,7708.27,26.23,1.79,56.01,2.31,"Designs and manufactures heavy-duty diesel trucks and related parts","Trucks/Construction/Farm Machinery",36,3,5,4,27
PCG,"PG&E Corporation",A,Conservative,A,C,D,B,B,C,D,C,F,C,32.00,18.70,0.00,17.00,10.00,0.30,-5.60,6.00,3.60,0.30,-0.51,10.20,"Provides electric energy services and transports natural gas","Electric Utilities",70,11,17,24,10
PCRX,"Pacira Biosciences, Inc.",D,Conservative,F,C,C,C,C,D,D,A,B,C,1.81,135.90,0.00,82.00,36.00,0.64,-1.30,159.90,1.20,0.62,-3.86,28.50,"Develops and manufactures injectable therapeutic products","Pharmaceuticals: Major",442,66,121,23,30
PDD,"PDD Holdings Inc. Sponsored ADR Class A",A,Moderate,A,B,A,A,A,B,A,F,C,A,116.25,95.50,0.00,105.00,34.00,0.92,77.10,6.00,41.20,1.25,34.83,64.70,"Operates as a holding company which develops and manages an e-commerce platform","Internet Retail",48,3,2,3,12
PEAK,"Healthpeak Properties, Inc.",D,Conservative,F,D,C,D,D,D,F,C,D,C,11.34,22.87,5.00,35.40,20.70,0.13,-90.38,520.48,4.44,0.08,-34.81,-4.62,"Operates as a real estate investment trust","Real Estate Investment Trusts",209,27,116,91,95
PENN,"PENN Entertainment, Inc.",D,Conservative,D,D,D,D,D,F,F,A,D,C,4.20,21.90,0.00,45.00,26.00,0.29,-69.50,1.00,0.50,0.35,19.57,23.20,"Owns and operates gaming and pari-mutuel properties",Movies/Entertainment,46,13,28,5,11
PEP,"PepsiCo, Inc.",B,Conservative,A,C,C,D,D,C,C,F,D,A,241.15,27.30,3.00,186.00,156.00,1.29,1.30,17.00,6.40,1.38,7.15,7.70,"Provides a diversified line of soft drinks and snack foods","Beverages: Non-Alcoholic",17,2,11,4,9
PFE,"Pfizer Inc.",D,Conservative,D,C,D,A,A,F,B,F,B,A,225.20,7.30,3.00,55.00,39.00,1.62,8.90,16.00,-34.50,0.99,-39.07,-12.40,"Manufactures vaccines and injectable biologic medicines","Pharmaceuticals: Major",442,6,164,42,66
PG,"Procter & Gamble Company",B,Conservative,B,C,D,B,C,B,C,F,C,A,337.19,25.10,2.00,164.00,124.00,1.33,0.20,19.00,-0.80,1.32,-0.57,5.90,"Manufactures fabric and home care products","Household/Personal Care",22,1,12,5,14
PGR,"Progressive Corporation",A,Conservative,A,B,C,C,C,C,C,A,B,C,79.73,115.60,0.00,146.00,107.00,1.12,4.30,14.00,13.60,1.45,28.95,33.90,"Provides automobile and property insurance and reinsurance services","Multi-Line Insurance",35,1,7,6,6
PH,"Parker-Hannifin Corporation",B,Conservative,A,C,B,C,B,B,C,F,C,B,39.11,31.50,2.00,363.00,236.00,4.83,6.70,4.00,16.20,4.97,2.88,8.90,"Manufactures motion and control technologies & systems","Industrial Machinery",85,7,15,16,37
PHI,"PLDT, Inc. Sponsored ADR",D,Conservative,D,C,D,A,A,A,D,D,F,A,5.01,9.40,4.70,38.53,20.46,0.52,-8.60,926.18,-4.29,0.48,-8.78,2.91,"Provides wireless broadband and telecommunications services","Specialty Telecommunications",10,4,7,5,6
PHM,"PulteGroup, Inc.",A,Conservative,A,B,B,B,A,B,A,F,B,A,12.52,5.00,1.00,60.00,36.00,1.83,31.40,3.00,2.30,1.82,-0.69,-7.90,"Engages in the homebuilding business",Homebuilding,27,6,4,5,13
PKI,"PerkinElmer, Inc.",D,Conservative,D,C,F,B,C,D,C,D,C,B,15.48,27.50,0.00,185.00,117.00,2.41,3.70,678.80,-46.10,0.99,-59.01,-0.30,"Manufactures and distributes analytical instruments","Medical Specialties",246,24,184,55,78
PLD,"Prologis, Inc.",D,Conservative,D,C,A,D,D,D,C,F,D,B,109.81,27.00,2.80,173.01,98.90,1.54,3.67,1551.89,44.11,0.61,-60.71,1.74,"Operates as a real estate investment trust which owns, operates and develops industrial real estate properties","Real Estate Investment Trusts",209,1,16,104,64
PLTK,"Playtika Holding Corp.",D,Conservative,D,C,D,C,C,D,A,A,F,F,3.84,15.40,0.00,20.00,8.00,0.20,40.20,641.00,-5.30,0.19,-5.76,16.80,"Develops mobile games","Packaged Software",336,91,228,75,129
PM,"Philip Morris International Inc.",B,Conservative,B,C,D,B,B,A,B,F,D,F,146.95,16.30,4.98,108.57,83.01,1.56,9.90,7996.64,3.24,1.34,-14.24,8.17,"Manufactures cigarettes and other tobacco products",Tobacco,6,1,2,3,3
PNC,"PNC Financial Services Group, Inc.",D,Conservative,F,C,A,C,B,D,D,F,B,B,49.61,8.90,4.00,197.00,124.00,3.23,-12.10,5.00,20.00,3.72,15.13,6.80,"Operates as a bank holding company whose subsidiary provides banking services","Major Banks",89,14,31,39,38
PNFP,"Pinnacle Financial Partners, Inc.",F,Conservative,F,C,A,C,B,D,D,F,B,B,4.19,7.64,1.20,98.26,54.82,1.65,-12.83,424.54,23.78,1.78,8.00,5.14,"Operates as a bank holding company whose subsidiary provides banking services","Regional Banks",243,22,59,111,94
PODD,"Insulet Corporation",B,Conservative,A,C,B,D,D,A,B,B,D,C,21.49,5.00,0.00,313.00,186.00,0.40,9.50,330.90,12.00,0.10,-74.29,621.40,"Manufactures, develops and markets insulin infusion systems","Medical Specialties",246,18,80,58,3
POOL,"Pool Corporation",D,Conservative,D,C,C,C,C,C,D,F,C,A,13.36,18.28,1.26,487.41,283.92,4.23,-9.67,1305.68,-7.57,3.30,-22.05,3.46,"Distributes swimming pool supplies, equipment, related leisure products, irrigation, and landscape products","Wholesale Distributors",50,5,30,21,22
PPBI,"Pacific Premier Bancorp, Inc.",D,Conservative,D,C,B,C,C,D,D,D,B,B,2.36,8.32,4.18,37.44,24.79,0.71,-0.92,198.91,5.96,0.72,0.70,-1.34,"Operates as a bank holding company through its subsidiary provides state-chartered commercial banking services","Regional Banks",243,39,136,131,158
PPG,"PPG Industries, Inc.",B,Conservative,B,C,D,C,C,D,B,D,D,B,28.79,28.30,2.00,137.00,108.00,1.37,8.10,4.00,-1.20,1.18,-13.80,12.20,"Manufactures and distributes coatings, paints and materials","Industrial Specialties",17,2,10,5,7
PPL,"PPL Corporation",B,Conservative,B,C,A,C,B,B,C,F,D,C,19.76,27.70,3.00,31.00,24.00,0.41,0.00,1.00,1.20,0.45,10.63,9.00,"Delivers electricity and natural gas and generates electricity","Electric Utilities",70,22,29,9,11
PSX,"Phillips 66",B,Conservative,A,B,B,B,B,A,D,F,C,A,44.12,4.10,4.00,112.00,74.00,1.32,-9.30,37.00,2.30,3.45,161.09,-14.50,"Engages in refining, marketing, midstream and chemicals businesses","Oil Refining/Marketing",11,3,2,5,2
PTC,"PTC Inc.",B,Conservative,B,C,D,A,A,D,D,D,B,B,14.03,41.10,0.00,138.00,98.00,1.39,-3.70,533.10,5.50,1.12,-19.38,12.60,"Develops and provides software based product management & development solutions","Packaged Software",336,35,178,93,144
PWR,"Quanta Services, Inc.",B,Conservative,A,B,C,A,A,B,C,D,C,B,22.17,46.70,0.00,163.00,109.00,1.37,4.80,4.00,3.60,1.18,-14.07,12.70,"Provides design, procurement, new construction, upgrade, repair and maintenance services for electric power transmission, distribution and utility infrastructure","Engineering & Construction",46,1,26,19,24
QDEL,"QuidelOrtho Corporation",D,Conservative,D,C,A,D,D,B,B,F,D,B,5.65,6.90,0.00,118.00,67.00,11.66,23.40,761.50,-24.00,1.49,-87.23,-12.60,"Manufactures in vitro diagnostics products","Medical Specialties",246,42,179,62,80
QRVO,"Qorvo, Inc.",D,Conservative,D,D,F,F,F,D,B,F,D,B,9.67,22.67,0.00,131.89,78.34,3.12,21.51,621.68,-46.69,0.13,-95.96,1.04,"Operates as a semiconductor company that develops and supplies cellular, ultra-wideband, Wi-Fi and other wireless products",Semiconductors,101,27,80,49,51
QSR,"Restaurant Brands International Inc",B,Conservative,B,C,C,B,B,C,D,D,D,A,18.71,18.55,3.37,68.48,46.94,0.64,-2.56,1554.67,7.14,0.64,-0.61,6.23,"Operates and franchises restaurants",Restaurants,51,6,28,25,32
RACE,"Ferrari NV",A,Conservative,A,C,C,C,C,A,C,F,D,A,47.16,48.40,1.00,271.00,169.00,1.36,3.20,1.00,17.30,1.56,14.96,14.70,"Engages in the designing, engineering, producing and selling of sports cars","Motor Vehicles",44,4,16,4,7
RE,"Everest Re Group, Ltd.",B,Conservative,A,B,C,B,B,A,A,F,B,C,13.03,22.02,2.00,390.84,245.80,10.31,26.53,3.00,17.41,13.22,28.23,36.09,"Provides property and casualty reinsurance services","Property/Casualty Insurance",36,7,7,6,13
REGN,"Regeneron Pharmaceuticals, Inc.",B,Conservative,B,C,F,C,D,C,B,F,B,A,81.94,19.50,0.00,783.00,548.00,11.49,22.60,3.00,1.40,9.75,-15.12,1.10,"Discovers, develops, manufactures and commercializes medicines for serious diseases","Pharmaceuticals: Major",442,12,120,30,61
REZI,"Resideo Technologies, Inc.",D,Conservative,D,C,C,D,D,D,F,D,C,B,2.47,8.90,0.00,27.00,15.00,0.58,-31.30,1.00,1.70,0.34,-41.59,10.60,"Manufactures and distributes low-voltage security products","Electronics Distributors",10,4,3,5,2
RHI,"Robert Half International Inc.",D,Conservative,F,C,D,C,C,D,C,F,B,A,7.90,12.20,2.00,122.00,72.00,1.52,0.70,1.00,-5.40,1.14,-24.69,5.20,"Provides staffing and risk consulting services","Personnel Services",27,1,17,8,15
ROK,"Rockwell Automation, Inc.",B,Conservative,B,B,C,A,A,A,A,D,C,A,31.31,29.50,2.00,306.00,191.00,1.66,25.70,2.00,15.90,2.57,55.00,11.90,"Develops and manufactures automation equipment & avionics systems","Electronic Equipment/Instruments",38,2,9,3,13
ROL,"Rollins, Inc.",B,Conservative,B,B,C,B,B,B,C,A,C,A,17.76,48.70,1.00,42.00,32.00,0.15,1.10,641.50,8.60,0.17,12.88,10.10,"Provides pest & termite control services","Other Consumer Services",52,6,21,5,25
ROST,"Ross Stores, Inc.",B,Conservative,A,B,C,B,B,C,C,D,C,A,35.19,23.30,1.00,122.00,70.00,0.97,5.70,4.00,3.20,1.07,10.60,13.00,"Operates discount clothing chains & sells closeout merchandise","Apparel/Footwear Retail",33,2,5,3,7
RPM,"RPM International Inc.",B,Conservative,B,C,C,B,B,D,D,D,C,A,10.89,20.50,2.00,105.00,75.00,0.38,-0.30,1.00,2.70,0.31,-18.57,16.50,"Manufactures coatings, sealants and chemicals","Industrial Specialties",17,3,9,6,6
RS,"Reliance Steel & Aluminum Co.",B,Conservative,A,C,D,B,C,A,A,F,C,A,14.14,8.07,1.73,263.48,163.47,8.42,31.18,3903.04,-12.99,5.71,-32.22,-14.06,"Provides metal processing and distribution services",Steel,26,8,11,7,11
RSG,"Republic Services, Inc.",B,Conservative,B,C,B,B,B,B,B,D,D,B,41.32,27.90,1.00,148.00,121.00,1.14,10.80,3.00,15.40,1.15,0.96,10.50,"Engages in collection, transfer and disposal of non-hazardous solid waste","Environmental Services",17,2,4,4,5
RTX,"Raytheon Technologies Corporation",B,Conservative,B,C,C,A,A,C,C,D,D,C,140.39,27.40,2.00,105.00,81.00,1.15,2.40,16.00,7.70,1.13,-2.04,12.40,"Manufactures and wholesales aerospace & defense systems","Aerospace & Defense",62,1,23,21,22
RVLV,"Revolve Group, Inc Class A",D,Moderate,D,C,C,D,D,D,B,B,B,B,1.82,31.50,0.00,58.00,20.00,0.30,10.00,289.60,2.10,0.16,-48.00,24.10,"Retails women's and men's clothing through online","Internet Retail",48,17,17,13,16
RY,"Royal Bank of Canada",D,Conservative,D,C,A,D,C,C,C,F,C,B,128.12,10.80,4.00,114.00,86.00,2.34,1.80,9.00,6.30,2.10,-9.96,10.20,"Provides commercial banking services","Major Banks",89,5,54,64,21
SAFE,"Safehold Inc.",D,Moderate,D,C,A,C,C,C,D,C,C,C,1.87,13.57,2.45,58.17,24.14,0.43,-4.79,74.55,23.42,0.36,-15.35,-0.69,"Acts as a real estate investment trust which acquires, manages and capitalizes ground leases","Real Estate Investment Trusts",209,88,30,69,82
SAN,"Banco Santander S.A. Sponsored ADR",B,Conservative,B,B,B,C,C,A,C,A,A,B,54.45,5.80,3.00,4.00,2.00,0.15,6.30,14.00,10.60,0.15,-0.76,7.50,"Engages in the provision of banking services for individuals, companies and institutions","Major Banks",89,11,44,56,34
SAND,"Sandstorm Gold Ltd.",D,Conservative,D,D,B,F,F,F,F,A,D,B,1.71,16.92,1.00,9.00,5.00,0.05,-188.40,43.00,21.60,0.02,-63.21,30.50,"Acquires royalties in gold and other metals purchase agreements","Precious Metals",67,24,5,21,12
SBCF,"Seacoast Banking Corporation of Florida",D,Conservative,F,C,A,D,D,C,B,C,B,C,1.80,15.09,2.05,36.75,21.31,0.44,17.15,157.52,70.36,0.57,28.41,12.85,"Operates as a bank holding company whose subsidiary provides banking services","Regional Banks",243,50,4,58,31
SBUX,"Starbucks Corporation",B,Conservative,A,C,C,B,B,C,D,D,C,D,113.36,34.25,2.02,109.99,69.90,0.59,-3.02,8386.86,9.84,0.64,9.06,17.12,"Produces and sells coffee and tea",Restaurants,51,2,21,16,12
SCCO,"Southern Copper Corporation",B,Conservative,B,B,D,B,B,A,A,D,C,A,52.66,20.00,6.00,79.00,43.00,1.02,40.50,2.00,-6.40,0.91,-10.32,10.80,"Engages in the production of copper, molybdenum, zinc and silver","Other Metals/Minerals",46,2,14,6,15
SCHW,"Charles Schwab Corp",D,Conservative,D,C,B,B,B,D,D,D,B,A,101.67,16.10,1.00,92.00,52.00,0.77,-1.90,5.00,12.70,0.94,22.51,17.20,"Provides securities brokerage and other financial services","Investment Banks/Brokers",43,2,6,9,11
SEDG,"SolarEdge Technologies, Inc.",B,Moderate,B,C,A,D,D,A,A,C,C,C,15.00,161.90,0.00,365.00,193.00,0.60,85.50,930.50,42.00,1.93,221.46,33.00,"Provides distributed solar power harvesting and photovoltaics monitoring solutions","Electrical Products",57,4,8,1,6
SEE,"Sealed Air Corporation",D,Conservative,D,C,D,D,D,D,C,D,B,A,6.38,13.20,2.00,70.00,41.00,1.12,0.00,1.00,-3.00,0.80,-28.53,5.30,"Manufactures protective packaging products",Containers/Packaging,24,11,14,11,10
SFBS,"ServisFirst Bancshares Inc",D,Conservative,F,C,A,C,B,D,C,D,B,A,3.07,12.25,1.41,95.47,56.28,1.06,0.27,122.36,7.64,1.08,2.25,-0.38,"Operates as a bank holding company whose subsidiary provides banking services","Regional Banks",243,30,127,126,147
SHEL,"Shell Plc Sponsored ADR",B,Conservative,B,C,C,C,C,D,B,F,C,A,188.27,4.70,4.00,63.00,46.00,2.40,21.10,84.00,0.70,2.22,-7.66,-9.10,"Explores and markets oil and natural gas","Integrated Oil",48,3,18,20,32
SIRI,"Sirius XM Holdings, Inc.",D,Conservative,F,C,D,B,B,D,B,A,C,D,14.16,11.90,2.00,7.00,4.00,0.08,14.80,2.00,-0.80,0.07,-16.94,4.20,"Provides satellite radio broadcasting services",Broadcasting,22,4,9,4,11
SJM,"J.M. Smucker Company",B,Conservative,A,C,C,A,A,B,C,F,D,B,16.20,28.50,3.00,163.00,122.00,2.23,3.50,2.00,7.10,2.41,7.94,4.70,"Produces and markets fruit spreads, peanut butter and other food products","Food: Specialty/Candy",43,8,17,6,26
SLB,"Schlumberger N.V.",B,Moderate,A,B,B,A,A,B,C,C,C,A,63.45,18.70,1.00,58.00,31.00,0.34,4.10,7.00,24.90,0.61,78.00,27.10,"Designs and constructs wells and manufactures surface & midstream production systems","Contract Drilling",15,2,9,1,11
SLM,"SLM Corp",D,Conservative,D,D,D,F,F,C,F,C,D,A,2.89,7.10,3.00,20.00,12.00,0.46,-171.60,423.30,6.60,0.43,-6.47,18.80,"Provides financing and loan services to the education market",Finance/Rental/Leasing,86,22,27,15,23
SMFG,"Sumitomo Mitsui Financial Group, Inc. Sponsored AD",A,Conservative,A,B,B,C,B,A,A,A,B,C,52.09,8.30,3.00,9.00,5.00,0.09,24.50,6.00,2.90,0.12,34.94,7.60,"Operates as bank holding company through its subsidiaries provides banking and financial products","Major Banks",89,12,63,18,33
SMTC,"Semtech Corporation",F,Conservative,F,C,D,C,C,B,C,D,B,A,1.86,15.18,0.00,72.88,25.65,0.70,2.85,150.40,-21.07,0.48,-31.10,4.51,"Designs, manufactures and markets analog and mixed-signal semiconductors",Semiconductors,101,50,63,32,45
SNA,"Snap-on Incorporated",B,Conservative,A,C,C,B,B,B,C,F,C,A,12.28,13.78,2.57,259.66,191.82,4.00,5.24,1129.76,2.91,4.13,3.31,-2.08,"Develops, manufactures and markets tools, equipment, diagnostics, repair information and systems solutions","Tools & Hardware",5,1,1,1,2
